term_id,term,df
824,alphabet,311
826,fast,1456
827,secret,1432
828,oper,1160
829,messag,1110
830,whenev,1235
831,convers,1420
832,news,1284
833,pray,1206
834,trust,1414
835,son,1515
836,notwithstand,799
837,domest,882
838,stranger,1302
839,gone,1574
840,mettl,175
841,afterward,1445
842,worthi,1278
844,refus,1433
845,organis,235
846,price,1283
847,gradual,1267
848,divis,862
849,notabl,643
850,latter,1341
851,anticip,1052
852,testifi,577
853,seriou,1355
855,ambit,911
856,west,1288
857,trait,500
858,print,1299
859,fail,1540
860,serv,1559
861,enthusiast,821
862,learner,66
863,damp,817
864,harbour,413
865,ceas,1409
867,mile,1386
868,collect,1399
869,low,1553
870,prevail,1021
871,instruct,1294
872,preacher,471
873,congreg,562
874,upward,1067
875,commonplac,563
876,demand,1410
877,process,1274
878,handicraft,76
879,uplift,443
880,atlanta,71
881,confid,1387
882,excel,1376
883,beyond,1558
884,formid,664
885,undertak,1043
886,hotel,774
887,won,1393
888,lack,1209
889,prefer,1382
890,met,1564
891,proceed,1395
892,built,1353
893,haviland,8
894,fals,1238
895,design,1267
896,fire,1570
897,push,1314
898,buy,1195
899,endur,1194
900,thank,1500
901,advic,1214
902,graduat,452
903,unabl,1212
904,prevent,1379
905,speed,1124
907,friendli,1188
908,profession,753
909,platform,708
910,assembl,1066
911,aborigin,183
912,straight,1385
913,recept,885
914,eager,1188
915,tobacco,691
916,share,1444
917,crime,1017
918,fifteen,1244
919,pure,1363
920,six,1551
921,furnish,1292
922,finish,1466
923,rang,1387
924,cent,819
925,properti,1245
926,grant,1326
927,exhibit,1087
929,team,1100
930,author,1524
931,golden,1206
932,sixth,790
933,wise,1403
934,japp,3
935,victori,1094
936,heroic,743
937,william,1006
938,holden,74
939,pike,309
940,etc,935
942,march,1349
943,song,1211
944,ossawatomi,3
945,invad,658
946,octob,803
947,inform,1483
948,draw,1568
949,exhaust,1198
950,trial,1138
951,relat,1441
952,promin,858
953,predecessor,567
954,speaker,774
955,europ,990
956,franc,1025
957,appli,1307
958,misgiv,366
959,reput,1098
960,choos,1291
961,will,1352
962,solid,1105
963,intellectu,686
964,judg,1465
965,esteem,836
966,els,1545
967,critic,1174
968,geniu,905
969,acknowledg,1139
970,solv,787
971,dare,1405
972,utter,1316
973,wealth,1110
974,symptom,566
975,comic,561
976,lot,1333
977,averag,778
978,shrewdest,42
980,unknown,1280
981,copi,1099
982,uncl,893
983,thrive,441
984,repli,1421
986,stock,1288
987,younger,1131
988,sixteen,900
989,elder,973
990,group,1272
991,attribut,890
992,liberti,1143
993,voyag,837
994,disappear,1291
995,wretched,255
996,cattl,796
997,drawback,286
998,cold,1517
999,fare,853
1000,inde,1565
1001,messeng,837
1002,errand,623
1003,haunt,907
1004,besid,1575
1005,talk,1499
1006,appar,1373
1007,grew,1358
1008,offenc,706
1009,shelter,1110
1010,citizenship,152
1011,tabl,1518
1012,sharpen,419
1013,around,1469
1014,english,1374
1015,schoolhous,84
1016,compani,1514
1017,forbidden,703
1018,compel,1131
1019,bone,1187
1020,elsewher,1003
1021,current,1098
1022,toler,911
1023,nigger,195
1024,occasion,1243
1025,hardship,589
1026,sometim,1567
1027,troubl,1545
1029,constant,1216
1030,kill,1433
1031,oppress,852
1032,inevit,964
1033,pleasur,1474
1034,degrad,652
1035,tast,1410
1036,yard,1247
1037,due,1431
1038,spell,1125
1039,bibl,697
1040,england,1251
1041,mention,1481
1042,benefactor,341
1043,yield,1220
1044,resist,1244
1045,ruin,1292
1046,figur,1489
