Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
66623,Text,2021-10-27,The Road to Bunker Hill,en,"Barker, Shirley, 1911-1965","United States -- History -- Revolution, 1775-1783 -- Juvenile fiction; Bunker Hill, Battle of, Boston, Mass., 1775 -- Juvenile fiction",PZ,Category: Historical Novels; Category: Novels; Category: American Literature
66624,Text,2021-10-28,Tükör darabok az önismeret és emberismeret világából,hu,"Tassy, Ede",Character; Self (Philosophy),BF,Category: Philosophy & Ethics
66625,Text,2021-10-28,"Motion pictures, January-June 1973",en,Library of Congress. Copyright Office,Motion pictures -- Catalogs,PN; Z,Category: Encyclopedias/Dictionaries/Reference
66626,Text,2021-10-29,Adán y Eva en el paraíso,es,"Queirós, Eça de, 1845-1900; Amado, Enrique [Translator]","Adam (Biblical figure) -- Fiction; Eve (Biblical figure) -- Fiction; Short stories, Portuguese -- Translations into Spanish",PQ,"Category: Novels; Category: Mythology, Legends & Folklore"
66627,Text,2021-10-29,The Cat's Paw,en,"Lincoln, Natalie Sumner, 1881-1935; Fisher, William, 1890-1985 [Illustrator]",Detective and mystery stories; Family secrets -- Fiction; Murder -- Investigation -- Fiction; Washington (D.C.) -- Fiction,PS,"Category: Crime, Thrillers and Mystery; Category: Novels; Category: American Literature"
66628,Text,2021-10-29,The Golden Chimney: A Boy's Mine,en,"Gerberding, Elizabeth, 1857-1902",Boys -- Fiction; Gold mines and mining -- Fiction; San Francisco (Calif.) -- Fiction,PS,Category: Adventure; Category: Novels; Category: American Literature
66629,Text,2021-10-29,"Historical Record of the Sixty-first, or the South Gloucestershire Regiment of Foot
Containing an account of the formation of the regiment in 1758, and of its subsequent services to 1844.",en,"Cannon, Richard, 1779-1865","Great Britain. Army. Regiment of Foot, 61st -- History; Great Britain. Army. Regiment of Foot, 61st (South Gloucestershire) -- History",UA,Category: History - British; Category: History - Warfare
66630,Text,2021-10-29,»Sie« am Seil,de,"Baudissin, Eva Gräfin von, 1869-1943; Engelhart, Josef, 1864-1941 [Illustrator]",Walking; Mountaineering; Skis and skiing,GV; PT,Category: Adventure; Category: Novels; Category: German Literature
66631,Text,2021-10-30,After the Manner of Men,en,"Lynde, Francis, 1856-1930; Becher, Arthur E., 1877-1960 [Illustrator]",Man-woman relationships -- Fiction; Cumberland Mountains -- Fiction; Tennessee -- Fiction; Mines and mineral resources -- Fiction,PS,Category: Novels; Category: American Literature
66632,Text,2021-10-30,The Game of Go: The National Game of Japan,en,"Smith, Arthur, 1870-1929",Go (Game),GV,Category: How To ...; Category: Sports/Hobbies
